MJD WL
60788.93694 0.9924
60788.93694 3.3529
60790.23383 1.1355
60790.23383 3.8526
60790.23527 1.1621
60790.23527 3.886
60790.23671 1.1893
60790.23671 3.9198
60790.23816 1.2172
60790.23816 3.9539
60790.43867 1.1098
60790.43867 3.8197
60790.50735 1.0168
60790.50735 3.4492
60790.50879 1.0407
60790.50879 3.5435
60790.51023 1.0651
60790.51023 3.6405
60790.51167 1.09
60790.51167 3.74
60791.12489 1.247
60791.12489 3.9898
60791.12633 1.2762
60791.12633 4.0244
60791.12777 1.3061
60791.12777 4.0594
60791.12922 1.3367
60791.12922 4.0947
60791.46822 1.1164
60791.46822 3.8456
60792.69898 1.3705
60792.69898 4.1332
60792.70042 1.4027
60792.70042 4.1692
60792.70186 1.4355
60792.70186 4.2054
60792.70331 1.4691
60792.70331 4.242
60792.90551 1.5039
60792.90551 4.2793
60792.90695 1.5392
60792.90695 4.3165
60792.90839 1.5752
60792.90839 4.354
60792.90983 1.6121
60792.90983 4.3918
60793.86463 1.6865
60793.86463 4.4593
60793.86607 1.7258
60793.86607 4.492
60793.86751 1.766
60793.86751 4.5249
60793.86895 1.8071
60793.86895 4.558
60794.00121 1.6486
60794.00121 4.4272
60794.00265 1.6111
60794.00265 4.3951
60794.75496 1.8522
60794.75496 4.5938
60794.7564 1.8954
60794.7564 4.6274
60794.75785 1.9395
60794.75785 4.6613
60794.75929 1.9847
60794.75929 4.6955
60796.12499 2.0362
60796.12499 4.7337
60796.12643 2.0836
60796.12643 4.7684
60796.12787 2.1321
60796.12787 4.8033
60796.12931 2.1817
60796.12931 4.8385
60797.08303 2.2367
60797.08303 4.8768
60797.08447 2.2887
60797.08447 4.9125
60797.08591 2.342
60797.08591 4.9484
60797.08736 2.3965
60797.08736 4.9846
60804.13672 2.2742
60804.13672 4.9026
60804.13816 2.3266
60804.13816 4.9381
60804.13961 2.3802
60804.13961 4.9739
60804.14105 2.4351
60804.14105 5.01
61028.69988 2.2455
61028.69988 4.8829
61028.70132 2.1947
61028.70132 4.8476
61028.70276 2.145
61028.70276 4.8125
61028.70421 2.0964
61028.70421 4.7777
61028.9743 2.2985
61028.9743 4.9191
61028.97574 2.3518
61028.97574 4.955
61028.97718 2.4062
61028.97718 4.9911
61030.34332 2.0543
61030.34332 4.747
61030.34476 2.0078
61030.34476 4.7127
61030.34621 1.9624
61030.34621 4.6787
61030.34765 1.918
61030.34765 4.6449
61032.05122 1.8799
61032.05122 4.6154
61032.05266 1.8374
61032.05266 4.5821
61032.05411 1.7959
61032.05411 4.549
61032.05555 1.7553
61032.05555 4.5162
61032.94122 1.7183
61032.94122 4.4858
61032.94266 1.6795
61032.94266 4.4534
61032.9441 1.6416
61032.9441 4.4213
61034.65545 1.5264
61034.65545 4.303
61034.65689 1.4916
61034.65689 4.2661
61034.65833 1.4576
61034.65833 4.2295
61034.65977 1.4243
61034.65977 4.1931
61034.8604 1.5621
61034.8604 4.3404
61034.86185 1.5985
61034.86185 4.378
61034.86329 1.6358
61034.86329 4.4159
61034.99723 1.8885
61034.99723 4.6221
61034.99867 1.8457
61034.99867 4.5887
61035.00011 1.804
61035.00011 4.5555
61035.00155 1.7631
61035.00155 4.5225
61036.29492 1.7229
61036.29492 4.4896
61036.29637 1.6839
61036.29637 4.4571
61036.29781 1.6458
61036.29781 4.4249
61036.50337 1.3923
61036.50337 4.1577
61036.50481 1.3606
61036.50481 4.1219
61036.50625 1.3295
61036.50625 4.0865
61036.5077 1.2992
61036.5077 4.0514
61037.59914 1.0549
61037.59914 3.6001
61037.60059 1.0797
61037.60059 3.6986
61037.60203 1.105
61037.60203 3.7998
61037.66607 1.0308
61037.66607 3.5044
61037.66751 1.0072
61037.66751 3.4111
61037.66895 0.9841
61037.66895 3.3203
61037.67039 0.9615
61037.67039 3.2319
61038.07623 1.27
61038.07623 4.0172
61038.07767 1.241
61038.07767 3.9827
61038.07911 1.2127
61038.07911 3.9484
61038.08055 1.185
61038.08055 3.9145
61038.96745 0.9402
61038.96745 3.1486
61038.96889 0.9187
61038.96889 3.0647
61038.97034 0.8976
61038.97034 2.9831
61038.97178 0.877
61038.97178 2.9036
61039.5821 1.1585
61039.5821 3.8815
61039.58355 1.1321
61039.58355 3.8482
61039.58499 1.1062
61039.58499 3.8151
61040.88297 0.8579
61040.88297 2.8301
61040.88441 0.8383
61040.88441 2.7547
61040.88586 0.819
61040.88586 2.6813
61040.8873 0.8003
61040.8873 2.6099
61041.83976 0.7824
61041.83976 2.5422
61041.8412 0.7645
61041.8412 2.4745
61041.84264 0.7469
61041.84264 2.4086
61194.37176 0.8519
61194.37176 2.8071
61194.3732 0.8719
61194.3732 2.884
61194.37464 0.8924
61194.37464 2.9629
61194.37609 0.9134
61194.37609 3.0441
61195.67028 0.9361
61195.67028 3.1324
61195.67172 0.958
61195.67172 3.2182
61195.67316 0.9805
61195.67316 3.3063
61195.87719 0.8337
61195.87719 2.7372
61195.87863 0.8146
61195.87863 2.6643
61195.88007 0.7959
61195.88007 2.5933
61195.88151 0.7776
61195.88151 2.5242
61196.35724 1.0043
61196.35724 3.3998
61196.35868 1.0279
61196.35868 3.4929
61196.36012 1.052
61196.36012 3.5885
61196.36156 1.0767
61196.36156 3.6868
61196.42282 1.102
61196.42282 3.788
61196.6282 0.7604
61196.6282 2.4592
61196.62964 0.743
61196.62964 2.3937
61197.31447 1.2659
61197.31447 4.0123
61197.31591 1.2955
61197.31591 4.0471
61197.31735 1.3258
61197.31735 4.0823
61197.31879 1.3569
61197.31879 4.1178
61197.58747 1.2374
61197.58747 3.9783
61197.58891 1.2091
61197.58891 3.9441
61197.59036 1.1815
61197.59036 3.9101
61198.06514 1.1553
61198.06514 3.8775
61198.06658 1.1289
61198.06658 3.8442
61198.06803 1.1031
61198.06803 3.8111
61198.41117 1.4236
61198.41117 4.1924
61198.41261 1.4569
61198.41261 4.2288
61198.41405 1.491
61198.41405 4.2655
61198.41549 1.5259
61198.41549 4.3026
61199.02411 1.5632
61199.02411 4.3415
61199.02555 1.5998
61199.02555 4.3792
61199.02699 1.6372
61199.02699 4.4173
61200.0533 1.8871
61200.0533 4.621
61200.05474 1.931
61200.05474 4.6548
61200.05618 1.9758
61200.05618 4.6888
61200.05762 2.0217
61200.05762 4.7231
61200.66729 1.8469
61200.66729 4.5895
61200.66874 1.805
