MJD WL
60730.89191 4.0665
60730.89335 1.3426
60730.89335 4.1015
60731.91591 1.3258
60731.91591 4.0823
60731.91736 1.3566
60731.91736 4.1175
60731.9188 1.3882
60731.9188 4.1531
60731.92024 1.4205
60731.92024 4.1889
60732.602 1.6011
60732.602 4.3806
60732.9452 0.746
60732.9452 2.4051
60732.94664 0.7635
60732.94664 2.4708
60732.94808 0.7813
60732.94808 2.5382
60733.21845 1.3908
60733.21845 4.156
60733.2199 1.4233
60733.2199 4.192
60733.22134 1.4565
60733.22134 4.2282
60733.22278 1.4904
60733.22278 4.2648
60734.38254 0.7645
60734.38254 2.4747
60734.38399 0.7824
60734.38399 2.5423
60734.38543 0.8008
60734.38543 2.6118
60734.38687 0.8195
60734.38687 2.6832
60734.9304 0.8249
60734.9304 2.7037
60734.93184 0.8442
60734.93184 2.7776
60734.93328 0.864
60734.93328 2.8535
60734.93472 0.8843
60734.93472 2.9316
60735.54978 1.0358
60735.54978 3.5241
60735.55122 1.0598
60735.55122 3.6193
60735.61566 0.8865
60735.61566 2.94
60735.6171 0.9072
60735.6171 3.0204
60735.61854 0.9285
60735.61854 3.1029
60735.61998 0.9503
60735.61998 3.1878
60737.32818 0.9242
60737.32818 3.0864
60737.87581 0.9999
60737.87581 3.3825
60737.87725 1.0232
60737.87725 3.4745
60737.87869 1.0471
60737.87869 3.569
60739.65664 0.7793
60739.65664 2.5303
60739.65808 0.7974
60739.65808 2.5988
60739.65952 0.8159
60739.65952 2.6693
60739.66096 0.8348
60739.66096 2.7416
60740.6158 0.8251
60740.6158 2.7044
60899.18908 0.9072
60899.18908 3.0203
60899.19052 0.8864
60899.19052 2.9398
60899.32578 0.8631
60899.32578 2.8502
60899.32722 0.8433
60899.32722 2.7742
60899.32866 0.824
60899.32866 2.7002
60899.3301 0.8051
60899.3301 2.6282
60899.53153 0.7827
60899.53153 2.5434
60899.53297 0.7648
60899.53297 2.4756
60899.53441 0.7472
60899.53441 2.4096
60901.79089 0.9004
60901.79089 2.9938
60901.79233 0.8798
60901.79233 2.9143
60901.79377 0.8597
60901.79377 2.8369
60901.92828 1.1048
60901.92828 3.7993
60901.92972 1.0796
60901.92972 3.6984
60901.93116 1.0549
60901.93116 3.6002
60901.9326 1.0308
60901.9326 3.5047
60905.14853 1.0951
60905.14853 3.7601
60905.14998 1.0699
60905.14998 3.6599
60905.15142 1.0454
60905.15142 3.5622
60905.48874 0.7587
60905.48874 2.4528
60905.49018 0.7413
60905.49018 2.3874
60905.7631 1.0038
60905.7631 3.3977
60905.76454 0.9807
60905.76454 3.307
60905.76598 0.9582
60905.76598 3.2187
60905.76742 0.9362
60905.76742 3.1328
60906.37879 0.8993
60906.37879 2.9895
60906.38024 0.8786
60906.38024 2.9097
60906.38168 0.8584
60906.38168 2.832
60906.38312 0.8387
60906.38312 2.7564
60906.51583 0.7795
60906.51583 2.5311
60906.51727 0.7616
60906.51727 2.4635
60906.51871 0.7441
60906.51871 2.3978
60907.82091 1.1134
60907.82091 3.8336
60907.82235 1.088
60907.82235 3.7318
60908.22773 0.781
60908.22773 2.5368
60908.22917 0.763
60908.22917 2.4691
60908.29782 1.0523
60908.29782 3.5899
60908.57357 1.11
60908.57357 3.82
60908.57501 1.0847
60908.57501 3.7186
60908.77646 1.4972
60908.77646 4.2721
60908.7779 1.463
60908.7779 4.2353
60908.77934 1.4296
60908.77934 4.1989
60908.78078 1.397
60908.78078 4.1628
60909.66689 1.3386
60909.66689 4.0969
60909.66834 1.3081
60909.66834 4.0618
60909.66978 1.2783
60909.66978 4.027
60910.2141 1.2353
60910.2141 3.9757
60910.21554 1.2072
60910.21554 3.9417
60910.21698 1.1797
60910.21698 3.908
60910.21843 1.1529
60910.21843 3.8745
60910.48794 1.0003
60910.48794 3.3842
60910.48939 0.9774
60910.48939 3.294
60911.17296 1.4016
60911.17296 4.168
60911.1744 1.3695
60911.1744 4.1321
60911.17584 1.3382
60911.17584 4.0965
60911.17728 1.3076
60911.17728 4.0613
60912.8159 1.5854
60912.8159 4.3644
