MJD WL
61051.79639 2.7954
61051.79783 0.8294
61051.79783 2.7209
61051.79927 0.8104
61051.79927 2.6484
61051.80071 0.7918
61051.80071 2.5778
61053.09811 0.7711
61053.09811 2.4994
61053.09955 0.7534
61053.09955 2.4328
61053.10099 0.7361
61053.10099 2.368
61053.3035 1.1018
61053.3035 3.787
61053.30494 1.0765
61053.30494 3.6861
61053.30638 1.0518
61053.30638 3.5878
61054.53419 1.0246
61054.53419 3.4801
61054.53563 1.0011
61054.53563 3.3874
61054.53708 0.9782
61054.53708 3.2971
61054.53852 0.9557
61054.53852 3.2092
61054.80748 1.2468
61054.80748 3.9895
61054.80892 1.2182
61054.80892 3.9551
61054.81036 1.1904
61054.81036 3.9211
61054.8118 1.1631
61054.8118 3.8873
61055.62866 1.1349
61055.62866 3.8517
61055.6301 1.1089
61055.6301 3.8186
61055.76609 0.9312
61055.76609 3.1133
61055.76753 0.9098
61055.76753 3.0303
61055.76897 0.8889
61055.76897 2.9496
61055.77041 0.8685
61055.77041 2.8709
61056.65902 1.6178
61056.65902 4.3977
61056.66046 1.5808
61056.66046 4.3598
61056.6619 1.5447
61056.6619 4.3223
61057.06775 0.8462
61057.06775 2.7853
61057.61425 1.507
61057.61425 4.2826
61057.61569 1.4726
61057.61569 4.2457
61057.61713 1.4389
61057.61713 4.2092
61057.61857 1.406
61057.61857 4.1729
61057.81961 1.8422
61057.81961 4.5859
61057.82105 1.8004
61057.82105 4.5527
61057.82249 1.7596
61057.82249 4.5197
61057.82393 1.7197
61057.82393 4.4869
61058.98416 1.3712
61058.98416 4.134
61058.9856 1.3399
61058.9856 4.0984
61058.98704 1.3093
61058.98704 4.0632
61058.98848 1.2794
61058.98848 4.0282
61059.53169 1.6786
61059.53169 4.4527
61059.53313 1.6406
61059.53313 4.4204
61059.87407 2.4442
61059.87407 5.0159
61059.87551 2.3888
61059.87551 4.9796
61059.87696 2.3347
61059.87696 4.9435
61059.8784 2.2818
61059.8784 4.9078
61060.08088 1.2485
61060.08088 3.9916
61060.69554 2.2289
61060.69554 4.8714
61060.69698 2.1784
61060.69698 4.8362
61060.69842 2.1291
61060.69842 4.8012
61060.69986 2.0809
61060.69986 4.7665
61061.0376 1.8401
61061.0376 4.5842
61061.03905 1.7986
61061.03905 4.5512
61061.04049 1.7581
61061.04049 4.5184
61061.04193 1.7184
61061.04193 4.4859
61061.92683 2.0328
61061.92683 4.7312
61061.92828 1.9868
61061.92828 4.6971
61061.92972 1.9419
61061.92972 4.6631
61061.93116 1.898
61061.93116 4.6294
61062.5428 1.6698
61062.5428 4.4452
61062.54424 1.6321
61062.54424 4.4131
61062.74902 2.427
61062.74902 5.0047
61062.75047 2.3722
61062.75047 4.9686
61062.75191 2.3186
61062.75191 4.9327
61062.75335 2.2663
61062.75335 4.8971
61064.25565 2.2036
61064.25565 4.8538
61064.2571 2.1537
61064.2571 4.8187
