MJD WL
60893.99346 3.8542
60894.33509 1.5657
60894.33509 4.3442
60894.33653 1.5302
60894.33653 4.307
60894.33797 1.4954
60894.33797 4.2702
60894.33942 1.4614
60894.33942 4.2336
60894.67443 1.6567
60894.67443 4.4369
60894.74168 1.1108
60894.74168 3.821
60895.01726 1.619
60895.01726 4.3988
60895.0187 1.5822
60895.0187 4.3612
60895.2232 1.428
60895.2232 4.1972
60895.22464 1.3955
60895.22464 4.1613
60895.22608 1.3638
60895.22608 4.1256
60895.22752 1.3328
60895.22752 4.0903
60895.90632 1.3024
60895.90632 4.0552
60895.90776 1.2728
60895.90776 4.0205
60895.9092 1.2439
60895.9092 3.9861
60895.91064 1.2156
60895.91064 3.952
60896.59182 1.1878
60896.59182 3.918
60896.93378 1.1608
60896.93378 3.8844
60896.93522 1.1344
60896.93522 3.8511
60896.93666 1.1086
60896.93666 3.8182
60897.00544 2.2972
60897.00544 4.9183
60897.00688 2.2452
60897.00688 4.8826
60897.00832 2.1943
60897.00832 4.8473
60897.00976 2.1445
60897.00976 4.8122
60897.27635 1.6539
60897.27635 4.4341
60897.27779 1.6164
60897.27779 4.3962
60897.27923 1.5796
60897.27923 4.3586
60897.75599 2.0956
60897.75599 4.7771
60897.75743 2.0481
60897.75743 4.7425
60898.30708 2.0015
60898.30708 4.708
60898.30852 1.9561
60898.30852 4.6739
60898.30996 1.9117
60898.30996 4.6401
60898.3114 1.8684
60898.3114 4.6065
60898.64533 1.8259
60898.64533 4.573
60899.05708 1.7844
60899.05708 4.5398
60899.05852 1.744
60899.05852 4.5069
60899.05996 1.7044
60899.05996 4.4743
60899.0614 1.6658
60899.0614 4.4419
60899.46684 1.6279
60899.46684 4.4096
60900.01519 2.426
60900.01519 5.004
60900.01663 2.371
60900.01663 4.9678
60900.01807 2.3173
60900.01807 4.9318
61084.69185 1.6399
61084.69185 4.4199
61084.69329 1.6778
61084.69329 4.4519
61084.69473 1.7165
61084.69473 4.4842
61084.69617 1.756
61084.69617 4.5168
61084.89654 2.3835
61084.89654 4.9761
61084.89798 2.4385
61084.89798 5.0122
61086.33489 1.7935
61086.33489 4.5471
61086.33633 1.8349
61086.33633 4.5801
61086.33777 1.8772
61086.33777 4.6133
61086.33921 1.9206
61086.33921 4.6468
61087.4986 2.3853
61087.4986 4.9773
61087.50004 2.4405
61087.50004 5.0135
61087.56655 1.6385
61087.56655 4.4187
61087.56799 1.6765
61087.56799 4.4508
61087.56943 1.7153
61087.56943 4.4833
61087.57087 1.755
61087.57087 4.5159
61087.70209 1.9621
61087.70209 4.6784
61087.70353 2.0074
61087.70353 4.7124
61087.70497 2.0537
61087.70497 4.7466
61087.70641 2.1011
61087.70641 4.7811
61088.66222 1.7946
61088.66222 4.5479
61088.66366 1.8361
61088.66366 4.5811
61088.6651 1.8786
61088.6651 4.6144
61088.66654 1.9221
61088.66654 4.648
61088.79584 2.1471
61088.79584 4.814
61088.79728 2.1967
61088.79728 4.849
