MJD WL
60749.13927 3.2461
60749.54376 1.2347
60749.54376 3.9751
60749.5452 1.2066
60749.5452 3.941
60749.54664 1.1792
60749.54664 3.9072
60749.54809 1.1523
60749.54809 3.8738
60750.09354 0.9428
60750.09354 3.1587
60750.09512 0.934
60750.09512 3.1245
60750.84904 1.6422
60750.84904 4.4223
60750.85048 1.6048
60750.85048 4.3844
60750.85192 1.5683
60750.85192 4.3468
60750.98505 1.1256
60750.98505 3.8399
60750.98649 1.1
60750.98649 3.807
60752.08201 1.532
60752.08201 4.3089
60752.08345 1.4971
60752.08345 4.272
60752.08489 1.463
60752.08489 4.2354
60752.08633 1.4297
60752.08633 4.1991
60753.24612 1.3967
60753.24612 4.1626
60753.38306 1.262
60753.38306 4.0076
60754.61422 2.0448
60754.61422 4.7401
60754.61566 1.9985
60754.61566 4.7058
60754.6171 1.9532
60754.6171 4.6717
60754.61854 1.909
60754.61854 4.638
60756.53156 1.8645
60756.53156 4.6034
60756.533 1.8223
60756.533 4.5701
60756.53444 1.781
60756.53444 4.5371
60756.53588 1.7407
60756.53588 4.5042
60757.21979 2.4201
60757.21979 5.0002
60757.22123 2.3654
60757.22123 4.964
60757.22267 2.3118
60757.22267 4.9281
60757.285 1.7008
60757.285 4.4713
60757.28644 1.6624
60757.28644 4.4389
60757.28788 1.6247
60757.28788 4.4069
60758.51778 2.2584
60758.51778 4.8917
60758.51922 2.2073
60758.51922 4.8564
60758.52066 2.1573
60758.52066 4.8213
60758.5221 2.1085
60758.5221 4.7864
60760.16481 2.0594
60760.16481 4.7508
60944.56439 1.9368
60944.56439 4.6593
60944.56583 1.9817
60944.56583 4.6933
60944.56727 2.0277
60944.56727 4.7275
60944.56871 2.0747
60944.56871 4.762
60946.4802 2.121
60946.4802 4.7954
60946.48164 2.1702
60946.48164 4.8304
60946.48308 2.2205
60946.48308 4.8656
60946.48452 2.272
60946.48452 4.9011
60947.37326 1.6324
60947.37326 4.4134
60947.3747 1.6703
60947.3747 4.4456
60947.37614 1.709
60947.37614 4.478
60947.44006 2.3237
60947.44006 4.9361
60947.4415 2.3776
60947.4415 4.9721
60947.44295 2.4327
60947.44295 5.0084
60947.50899 1.3239
60947.50899 4.0801
60947.51043 1.3547
60947.51043 4.1153
60947.51188 1.3862
60947.51188 4.1508
60947.51332 1.4184
60947.51332 4.1866
60947.71422 1.7483
60947.71422 4.5105
60947.71566 1.7889
60947.71566 4.5434
60947.71711 1.8304
60947.71711 4.5765
60947.71855 1.8728
60947.71855 4.6099
60949.15257 1.484
60949.15257 4.258
60949.15401 1.5185
60949.15401 4.2947
60949.15545 1.5538
60949.15545 4.3317
60949.15689 1.5899
60949.15689 4.3691
60949.42649 1.6266
60949.42649 4.4066
60949.42793 1.6644
60949.42793 4.4446
60949.63048 1.9146
60949.63048 4.6422
60950.04199 1.1156
60950.04199 3.8271
60950.04344 1.1415
60950.04344 3.8601
60950.04488 1.168
60950.04488 3.8934
60950.31596 1.3211
60950.31596 4.0769
60950.31741 1.3519
60950.31741 4.1121
